# !SESSION 2022-05-13 15:20:47.937
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.522 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.common.impl.UsedFunctionalityFlagImpl@7b5085c9 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.523 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.524 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@df426d4a |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.525 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.525 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@6bc90a8f |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.526 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.common.impl.UsedFunctionalityFlagImpl@94ffb1cf |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.527 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.528 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@347db7d6 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.529 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.529 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@f6c6d71a |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@1dc318bc |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.531 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.531 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.532 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.532 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@3f9863d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.533 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.534 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@d0475e1d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.534 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.535 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing top object: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.536 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://DatabaseConfig/Configuration#/languages:Русский, bm://DatabaseConfig/Configuration#/] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.537 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing top object: com._1c.g5.v8.dt.metadata.mdclass.impl.LanguageImpl@bed07b83 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.538 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://DatabaseConfig/Configuration#/languages:Русский] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.538 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Configuration added to update list |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.539 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Object updates after change processing: [bm://DatabaseConfig/Configuration#/languages:Русский, bm://DatabaseConfig/Configuration#/] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.542 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Resource save processing finished |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.549 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing resource save: L/DatabaseConfig/src/Configuration/CommandInterface.cmi : [com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@24cdc85b] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.549 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Infobase synchronisation descriptor found: type-com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental strategy-com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.550 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@24cdc85b |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.552 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@24cdc85b |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.552 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing top object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@24cdc85b |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://DatabaseConfig/Configuration.CommandInterface#/] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.553 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Configuration added to update list |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.554 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Object updates after change processing: [bm://DatabaseConfig/Configuration.CommandInterface#/, bm://DatabaseConfig/Configuration#/] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.555 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Resource save processing finished |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.560 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing resource save: L/DatabaseConfig/src/Configuration/MainSectionCommandInterface.cmi : [com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@41c2f089] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.561 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Infobase synchronisation descriptor found: type-com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental strategy-com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.562 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@41c2f089 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.562 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@41c2f089 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.563 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing top object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@41c2f089 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.563 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Updates collected: [bm://DatabaseConfig/Configuration.MainSectionCommandInterface#/] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.564 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Configuration added to update list |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.565 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Object updates after change processing: [bm://DatabaseConfig/Configuration.MainSectionCommandInterface#/, bm://DatabaseConfig/Configuration#/] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.566 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Resource save processing finished |
